"","Variable_Name","Variable_Description"
"2","Project","Project"
"3","Replication","Replication"
"4","Lab","Lab"
"5","Lab__Empirical__T_N","lab level: treatment group number of participants"
"6","Lab__Empirical__C_N","lab level: control group number of participants"
"7","Lab__Empirical__T_M","lab level: treatment group mean"
"8","Lab__Empirical__SE_T_M","lab level: standard error of the treatment group mean"
"9","Lab__Empirical__C_M","lab level: control group mean"
"10","Lab__Empirical__SE_C_M","lab level: standard error of the control group mean"
"11","Lab__Empirical__T_SD","lab level: treatment group standard deviation"
"12","Lab__Empirical__SE_T_SD","lab level: standard error of the treatment group standard deviation"
"13","Lab__Empirical__C_SD","lab level: control group standard deviation"
"14","Lab__Empirical__SE_C_SD","lab level: standard error of the control group standard deviation"
"15","Lab__Empirical__MD","lab level: mean difference"
"16","Lab__Empirical__SE_MD","lab level: standard error of the mean difference"
"17","Lab__Empirical__pooled_SD","lab level: pooled standard deviation"
"18","Lab__Empirical__SE_pooled_SD","lab level: standard error of the pooled standard deviation"
"19","Lab__Empirical__SMD_d","lab level: standardized mean difference as Borenstein's d"
"20","Lab__Empirical__SE_SMD_d","lab level: standard error of the standardized mean difference as Borenstein's d"
"21","Lab__Empirical__SMD_g","lab level: standardized mean difference as Hedge's g"
"22","Lab__Empirical__SE_SMD_g","lab level: standard error of the standardized mean difference as Hedge's g"
"23","MA__Empirical__K","meta analysis level: number of labs"
"24","MA__Empirical__N","meta analysis level: number of participants"
"25","MA__Model_Estimate__C_M","meta analysis level: model estimate for control group mean"
"26","MA__Model_Estimate__T_M","meta analysis level: model estimate for treatment group mean"
"27","MA__Model_Estimate__C_SD","meta analysis level: model estimate for control group standard deviation"
"28","MA__Model_Estimate__T_SD","meta analysis level: model estimate for treatment group standard deviation"
"29","MA__Model_Estimate__pooled_SD","meta analysis level: model estimate for pooled standard deviation"
"30","MA__Model_Estimate__MD","meta analysis level: model estimate for mean difference"
"31","MA__Model_Estimate__SMD_d","meta analysis level: model estimate for standardized mean difference as Borenstein's d"
"32","MA__Model_Estimate__SMD_g","meta analysis level: model estimate for standardized mean difference as Hedge's g"
"33","MA__Model_Estimate__C_M_K","meta analysis level: model estimate for control group mean number of labs"
"34","MA__Model_Estimate__T_M_K","meta analysis level: model estimate for treatment group mean number of labs"
"35","MA__Model_Estimate__C_SD_K","meta analysis level: model estimate for control group standard deviation number of labs"
"36","MA__Model_Estimate__T_SD_K","meta analysis level: model estimate for treatment group standard deviation number of labs"
"37","MA__Model_Estimate__pooled_SD_K","meta analysis level: model estimate for pooled standard deviation number of labs"
"38","MA__Model_Estimate__MD_K","meta analysis level: model estimate for mean difference number of labs"
"39","MA__Model_Estimate__SMD_d_K","meta analysis level: model estimate for standardized mean difference as Borenstein's d number of labs"
"40","MA__Model_Estimate__SMD_g_K","meta analysis level: model estimate for standardized mean difference as Hedge's g number of labs"
"41","MA__Tau2__C_M","meta analysis level: Tau2 for control group mean"
"42","MA__Tau2__T_M","meta analysis level: Tau2 for treatment group mean"
"43","MA__Tau2__C_SD","meta analysis level: Tau2 for control group standard deviation"
"44","MA__Tau2__T_SD","meta analysis level: Tau2 for treatment group standard deviation"
"45","MA__Tau2__pooled_SD","meta analysis level: Tau2 for pooled standard deviation"
"46","MA__Tau2__MD","meta analysis level: Tau2 for mean difference"
