"","...1","Project","Replication","Lab","DV","Group"
"1",3,"ML1","Jacowitz_Distance","abington",4676,0
"2",4,"ML1","Jacowitz_Distance","abington",2163.5,1
"3",5,"ML1","Jacowitz_Distance","abington",212.5,0
"4",7,"ML1","Jacowitz_Distance","abington",2163.5,1
"5",8,"ML1","Jacowitz_Distance","abington",580,0
"6",9,"ML1","Jacowitz_Distance","abington",2163.5,0
"7",11,"ML1","Jacowitz_Distance","abington",2163.5,0
"8",15,"ML1","Jacowitz_Distance","abington",4165.5,0
"9",16,"ML1","Jacowitz_Distance","abington",2163.5,0
"10",17,"ML1","Jacowitz_Distance","abington",3732.5,1
"11",18,"ML1","Jacowitz_Distance","abington",1189,0
"12",19,"ML1","Jacowitz_Distance","abington",2163.5,1
"13",20,"ML1","Jacowitz_Distance","abington",2163.5,1
"14",22,"ML1","Jacowitz_Distance","abington",1189,0
"15",24,"ML1","Jacowitz_Distance","abington",580,1
"16",25,"ML1","Jacowitz_Distance","abington",251,0
"17",26,"ML1","Jacowitz_Distance","abington",3216,0
"18",27,"ML1","Jacowitz_Distance","abington",3035.5,1
"19",28,"ML1","Jacowitz_Distance","abington",1189,1
"20",29,"ML1","Jacowitz_Distance","abington",4676,1
"21",30,"ML1","Jacowitz_Distance","abington",5082,1
"22",31,"ML1","Jacowitz_Distance","abington",2163.5,1
"23",32,"ML1","Jacowitz_Distance","abington",2163.5,1
"24",33,"ML1","Jacowitz_Distance","abington",4676,0
"25",34,"ML1","Jacowitz_Distance","abington",4999.5,0
"26",35,"ML1","Jacowitz_Distance","abington",2163.5,0
"27",36,"ML1","Jacowitz_Distance","abington",2163.5,0
"28",38,"ML1","Jacowitz_Distance","abington",4676,1
"29",39,"ML1","Jacowitz_Distance","abington",3732.5,1
"30",41,"ML1","Jacowitz_Distance","abington",901,0
"31",42,"ML1","Jacowitz_Distance","abington",2163.5,1
"32",43,"ML1","Jacowitz_Distance","abington",580,1
"33",44,"ML1","Jacowitz_Distance","abington",2163.5,0
"34",45,"ML1","Jacowitz_Distance","abington",3732.5,1
"35",46,"ML1","Jacowitz_Distance","abington",4676,1
"36",47,"ML1","Jacowitz_Distance","abington",1360.5,0
"37",48,"ML1","Jacowitz_Distance","abington",952,0
"38",49,"ML1","Jacowitz_Distance","abington",3732.5,1
"39",50,"ML1","Jacowitz_Distance","abington",5019,1
"40",51,"ML1","Jacowitz_Distance","abington",3939.5,1
"41",52,"ML1","Jacowitz_Distance","abington",251,0
"42",53,"ML1","Jacowitz_Distance","abington",4165.5,1
"43",54,"ML1","Jacowitz_Distance","abington",1189,0
"44",55,"ML1","Jacowitz_Distance","abington",4941,1
"45",56,"ML1","Jacowitz_Distance","abington",54.5,0
"46",57,"ML1","Jacowitz_Distance","abington",4676,1
"47",58,"ML1","Jacowitz_Distance","abington",3216,1
"48",59,"ML1","Jacowitz_Distance","abington",4676,0
"49",60,"ML1","Jacowitz_Distance","abington",3397.5,1
"50",61,"ML1","Jacowitz_Distance","abington",4165.5,1
"51",62,"ML1","Jacowitz_Distance","abington",5286.5,1
"52",63,"ML1","Jacowitz_Distance","abington",2926,0
"53",66,"ML1","Jacowitz_Distance","abington",5082,1
"54",68,"ML1","Jacowitz_Distance","abington",251,0
"55",69,"ML1","Jacowitz_Distance","abington",4676,1
"56",70,"ML1","Jacowitz_Distance","abington",3732.5,1
"57",71,"ML1","Jacowitz_Distance","abington",2163.5,0
"58",72,"ML1","Jacowitz_Distance","abington",580,0
"59",73,"ML1","Jacowitz_Distance","abington",2163.5,1
"60",74,"ML1","Jacowitz_Distance","abington",3732.5,1
"61",75,"ML1","Jacowitz_Distance","abington",3397.5,0
"62",76,"ML1","Jacowitz_Distance","abington",2163.5,1
"63",78,"ML1","Jacowitz_Distance","abington",4165.5,1
"64",79,"ML1","Jacowitz_Distance","abington",4676,1
"65",80,"ML1","Jacowitz_Distance","abington",149,0
"66",81,"ML1","Jacowitz_Distance","abington",5208,1
"67",82,"ML1","Jacowitz_Distance","abington",1575,0
"68",83,"ML1","Jacowitz_Distance","abington",212.5,0
"69",86,"ML1","Jacowitz_Distance","brasilia",2825,0
"70",87,"ML1","Jacowitz_Distance","brasilia",325,1
"71",88,"ML1","Jacowitz_Distance","brasilia",325,0
"72",90,"ML1","Jacowitz_Distance","brasilia",2825,0
"73",91,"ML1","Jacowitz_Distance","brasilia",325,0
"74",92,"ML1","Jacowitz_Distance","brasilia",3020.5,0
"75",93,"ML1","Jacowitz_Distance","brasilia",870,0
"76",94,"ML1","Jacowitz_Distance","brasilia",2825,0
"77",95,"ML1","Jacowitz_Distance","brasilia",1011,0
"78",100,"ML1","Jacowitz_Distance","brasilia",4418,0
"79",103,"ML1","Jacowitz_Distance","brasilia",4418,1
"80",104,"ML1","Jacowitz_Distance","brasilia",76.5,0
"81",105,"ML1","Jacowitz_Distance","brasilia",2825,1
"82",108,"ML1","Jacowitz_Distance","brasilia",4018.5,1
"83",109,"ML1","Jacowitz_Distance","brasilia",5002,1
"84",110,"ML1","Jacowitz_Distance","brasilia",2825,0
"85",111,"ML1","Jacowitz_Distance","brasilia",2825,0
"86",112,"ML1","Jacowitz_Distance","brasilia",400,0
"87",114,"ML1","Jacowitz_Distance","brasilia",1011,1
"88",115,"ML1","Jacowitz_Distance","brasilia",325,0
"89",116,"ML1","Jacowitz_Distance","brasilia",2825,0
"90",118,"ML1","Jacowitz_Distance","brasilia",157.5,0
"91",119,"ML1","Jacowitz_Distance","brasilia",3457,1
"92",121,"ML1","Jacowitz_Distance","brasilia",5184.5,1
"93",123,"ML1","Jacowitz_Distance","brasilia",2825,1
"94",124,"ML1","Jacowitz_Distance","brasilia",2825,0
"95",126,"ML1","Jacowitz_Distance","brasilia",325,1
"96",127,"ML1","Jacowitz_Distance","brasilia",76.5,0
"97",129,"ML1","Jacowitz_Distance","brasilia",1455,1
"98",131,"ML1","Jacowitz_Distance","brasilia",29.5,0
"99",135,"ML1","Jacowitz_Distance","brasilia",2825,1
"100",137,"ML1","Jacowitz_Distance","brasilia",325,0
"101",138,"ML1","Jacowitz_Distance","brasilia",2825,1
"102",139,"ML1","Jacowitz_Distance","brasilia",134,0
"103",140,"ML1","Jacowitz_Distance","brasilia",325,0
"104",141,"ML1","Jacowitz_Distance","brasilia",76.5,0
"105",149,"ML1","Jacowitz_Distance","brasilia",5184.5,1
"106",153,"ML1","Jacowitz_Distance","brasilia",2825,0
"107",154,"ML1","Jacowitz_Distance","brasilia",2825,0
"108",155,"ML1","Jacowitz_Distance","brasilia",4313.5,1
"109",157,"ML1","Jacowitz_Distance","brasilia",3060,0
"110",158,"ML1","Jacowitz_Distance","brasilia",1582,0
"111",159,"ML1","Jacowitz_Distance","brasilia",3457,1
"112",161,"ML1","Jacowitz_Distance","brasilia",325,1
"113",162,"ML1","Jacowitz_Distance","brasilia",2825,1
"114",163,"ML1","Jacowitz_Distance","brasilia",4018.5,1
"115",164,"ML1","Jacowitz_Distance","brasilia",4418,1
"116",165,"ML1","Jacowitz_Distance","brasilia",3935,1
"117",166,"ML1","Jacowitz_Distance","brasilia",2825,0
"118",168,"ML1","Jacowitz_Distance","brasilia",4018.5,1
"119",169,"ML1","Jacowitz_Distance","brasilia",400,0
"120",170,"ML1","Jacowitz_Distance","brasilia",21,0
"121",171,"ML1","Jacowitz_Distance","brasilia",325,0
"122",173,"ML1","Jacowitz_Distance","brasilia",3457,0
"123",175,"ML1","Jacowitz_Distance","brasilia",814.5,0
"124",177,"ML1","Jacowitz_Distance","brasilia",4418,0
"125",178,"ML1","Jacowitz_Distance","brasilia",2825,1
"126",179,"ML1","Jacowitz_Distance","brasilia",392,0
"127",180,"ML1","Jacowitz_Distance","brasilia",325,1
"128",181,"ML1","Jacowitz_Distance","brasilia",5184.5,1
"129",183,"ML1","Jacowitz_Distance","brasilia",221,0
"130",184,"ML1","Jacowitz_Distance","brasilia",2825,1
"131",185,"ML1","Jacowitz_Distance","brasilia",325,0
"132",186,"ML1","Jacowitz_Distance","brasilia",1011,0
"133",188,"ML1","Jacowitz_Distance","brasilia",870,0
"134",189,"ML1","Jacowitz_Distance","brasilia",4018.5,1
"135",190,"ML1","Jacowitz_Distance","brasilia",5184.5,1
"136",191,"ML1","Jacowitz_Distance","brasilia",3060,0
"137",198,"ML1","Jacowitz_Distance","brasilia",4018.5,1
"138",199,"ML1","Jacowitz_Distance","brasilia",325,0
"139",200,"ML1","Jacowitz_Distance","brasilia",2825,1
"140",202,"ML1","Jacowitz_Distance","brasilia",1455,0
"141",204,"ML1","Jacowitz_Distance","brasilia",325,0
"142",206,"ML1","Jacowitz_Distance","charles",792,0
"143",207,"ML1","Jacowitz_Distance","charles",4418,1
"144",208,"ML1","Jacowitz_Distance","charles",2825,0
"145",209,"ML1","Jacowitz_Distance","charles",1011,0
"146",210,"ML1","Jacowitz_Distance","charles",2825,1
"147",211,"ML1","Jacowitz_Distance","charles",1011,0
"148",214,"ML1","Jacowitz_Distance","charles",2825,0
"149",215,"ML1","Jacowitz_Distance","charles",1011,0
"150",216,"ML1","Jacowitz_Distance","charles",2825,1
"151",218,"ML1","Jacowitz_Distance","charles",2825,0
"152",219,"ML1","Jacowitz_Distance","charles",2825,1
"153",220,"ML1","Jacowitz_Distance","charles",4951.5,1
"154",221,"ML1","Jacowitz_Distance","charles",1011,0
"155",222,"ML1","Jacowitz_Distance","charles",876,0
"156",223,"ML1","Jacowitz_Distance","charles",4418,1
"157",224,"ML1","Jacowitz_Distance","charles",2825,0
"158",225,"ML1","Jacowitz_Distance","charles",2825,1
"159",227,"ML1","Jacowitz_Distance","charles",1011,1
"160",228,"ML1","Jacowitz_Distance","charles",396,0
"161",229,"ML1","Jacowitz_Distance","charles",814.5,1
"162",231,"ML1","Jacowitz_Distance","charles",76.5,0
"163",232,"ML1","Jacowitz_Distance","charles",325,0
"164",236,"ML1","Jacowitz_Distance","charles",4418,1
"165",237,"ML1","Jacowitz_Distance","charles",325,1
"166",238,"ML1","Jacowitz_Distance","charles",325,0
"167",239,"ML1","Jacowitz_Distance","charles",95,0
"168",240,"ML1","Jacowitz_Distance","charles",814.5,1
"169",242,"ML1","Jacowitz_Distance","charles",325,0
"170",243,"ML1","Jacowitz_Distance","charles",325,0
"171",244,"ML1","Jacowitz_Distance","charles",5003,1
"172",245,"ML1","Jacowitz_Distance","charles",2825,1
"173",246,"ML1","Jacowitz_Distance","charles",4418,1
"174",247,"ML1","Jacowitz_Distance","charles",4418,1
"175",248,"ML1","Jacowitz_Distance","charles",1011,1
"176",249,"ML1","Jacowitz_Distance","charles",4018.5,0
"177",250,"ML1","Jacowitz_Distance","charles",4018.5,0
"178",251,"ML1","Jacowitz_Distance","charles",2825,0
"179",252,"ML1","Jacowitz_Distance","charles",1455,0
"180",254,"ML1","Jacowitz_Distance","charles",4418,1
"181",255,"ML1","Jacowitz_Distance","charles",814.5,0
"182",256,"ML1","Jacowitz_Distance","charles",814.5,0
"183",257,"ML1","Jacowitz_Distance","charles",1011,0
"184",258,"ML1","Jacowitz_Distance","charles",790,0
