"","...1","Project","Replication","Lab","DV","Group"
"1",1,"ML1","Jacowitz_Everest","abington",3586.5,1
"2",2,"ML1","Jacowitz_Everest","abington",3586.5,1
"3",3,"ML1","Jacowitz_Everest","abington",1172.5,0
"4",4,"ML1","Jacowitz_Everest","abington",164.5,0
"5",6,"ML1","Jacowitz_Everest","abington",1780.5,0
"6",7,"ML1","Jacowitz_Everest","abington",2662.5,1
"7",8,"ML1","Jacowitz_Everest","abington",5177.5,1
"8",10,"ML1","Jacowitz_Everest","abington",5417.5,1
"9",11,"ML1","Jacowitz_Everest","abington",1172.5,0
"10",12,"ML1","Jacowitz_Everest","abington",5417.5,1
"11",13,"ML1","Jacowitz_Everest","abington",4002,1
"12",14,"ML1","Jacowitz_Everest","abington",2393.5,1
"13",15,"ML1","Jacowitz_Everest","abington",2393.5,0
"14",16,"ML1","Jacowitz_Everest","abington",4002,1
"15",17,"ML1","Jacowitz_Everest","abington",5557.5,1
"16",19,"ML1","Jacowitz_Everest","abington",1538.5,0
"17",20,"ML1","Jacowitz_Everest","abington",5417.5,1
"18",21,"ML1","Jacowitz_Everest","abington",4214.5,1
"19",22,"ML1","Jacowitz_Everest","abington",906,0
"20",24,"ML1","Jacowitz_Everest","abington",4950.5,1
"21",26,"ML1","Jacowitz_Everest","abington",1509.5,0
"22",27,"ML1","Jacowitz_Everest","abington",3751,1
"23",28,"ML1","Jacowitz_Everest","abington",1589,0
"24",29,"ML1","Jacowitz_Everest","abington",4214.5,1
"25",30,"ML1","Jacowitz_Everest","abington",2662.5,1
"26",31,"ML1","Jacowitz_Everest","abington",4642,1
"27",32,"ML1","Jacowitz_Everest","abington",4642,1
"28",34,"ML1","Jacowitz_Everest","abington",539,0
"29",35,"ML1","Jacowitz_Everest","abington",4642,1
"30",36,"ML1","Jacowitz_Everest","abington",1172.5,0
"31",37,"ML1","Jacowitz_Everest","abington",1172.5,1
"32",38,"ML1","Jacowitz_Everest","abington",1172.5,0
"33",39,"ML1","Jacowitz_Everest","abington",1780.5,0
"34",40,"ML1","Jacowitz_Everest","abington",2116,0
"35",41,"ML1","Jacowitz_Everest","abington",347,0
"36",42,"ML1","Jacowitz_Everest","abington",3806,1
"37",43,"ML1","Jacowitz_Everest","abington",737,0
"38",44,"ML1","Jacowitz_Everest","abington",1008,0
"39",46,"ML1","Jacowitz_Everest","abington",2001,1
"40",47,"ML1","Jacowitz_Everest","abington",3760,1
"41",48,"ML1","Jacowitz_Everest","abington",4642,1
"42",49,"ML1","Jacowitz_Everest","abington",3586.5,1
"43",50,"ML1","Jacowitz_Everest","abington",70,0
"44",51,"ML1","Jacowitz_Everest","abington",906,0
"45",52,"ML1","Jacowitz_Everest","abington",48,0
"46",53,"ML1","Jacowitz_Everest","abington",691,0
"47",54,"ML1","Jacowitz_Everest","abington",3586.5,1
"48",55,"ML1","Jacowitz_Everest","abington",146,0
"49",56,"ML1","Jacowitz_Everest","abington",4375.5,1
"50",58,"ML1","Jacowitz_Everest","abington",3752,1
"51",59,"ML1","Jacowitz_Everest","abington",4642,0
"52",61,"ML1","Jacowitz_Everest","abington",1172.5,0
"53",62,"ML1","Jacowitz_Everest","abington",5042,1
"54",63,"ML1","Jacowitz_Everest","abington",4293.5,1
"55",64,"ML1","Jacowitz_Everest","abington",4002,0
"56",65,"ML1","Jacowitz_Everest","abington",5417.5,1
"57",66,"ML1","Jacowitz_Everest","abington",539,0
"58",67,"ML1","Jacowitz_Everest","abington",2662.5,1
"59",69,"ML1","Jacowitz_Everest","abington",4642,1
"60",70,"ML1","Jacowitz_Everest","abington",539,0
"61",72,"ML1","Jacowitz_Everest","abington",3586.5,0
"62",73,"ML1","Jacowitz_Everest","abington",1172.5,0
"63",74,"ML1","Jacowitz_Everest","abington",1172.5,0
"64",75,"ML1","Jacowitz_Everest","abington",1509.5,0
"65",76,"ML1","Jacowitz_Everest","abington",5417.5,1
"66",77,"ML1","Jacowitz_Everest","abington",4642,1
"67",78,"ML1","Jacowitz_Everest","abington",4214.5,1
"68",79,"ML1","Jacowitz_Everest","abington",1589,1
"69",80,"ML1","Jacowitz_Everest","abington",131,0
"70",81,"ML1","Jacowitz_Everest","abington",737,0
"71",82,"ML1","Jacowitz_Everest","abington",5557.5,1
"72",83,"ML1","Jacowitz_Everest","abington",2393.5,0
"73",84,"ML1","Jacowitz_Everest","abington",258,0
"74",87,"ML1","Jacowitz_Everest","brasilia",4417.5,1
"75",88,"ML1","Jacowitz_Everest","brasilia",1686.5,0
"76",90,"ML1","Jacowitz_Everest","brasilia",4878.5,1
"77",91,"ML1","Jacowitz_Everest","brasilia",836,0
"78",92,"ML1","Jacowitz_Everest","brasilia",2804,0
"79",93,"ML1","Jacowitz_Everest","brasilia",444,0
"80",95,"ML1","Jacowitz_Everest","brasilia",836,1
"81",100,"ML1","Jacowitz_Everest","brasilia",2522.5,1
"82",103,"ML1","Jacowitz_Everest","brasilia",374,0
"83",104,"ML1","Jacowitz_Everest","brasilia",1030.5,0
"84",105,"ML1","Jacowitz_Everest","brasilia",5549.5,1
"85",108,"ML1","Jacowitz_Everest","brasilia",2804,1
"86",109,"ML1","Jacowitz_Everest","brasilia",4417.5,1
"87",110,"ML1","Jacowitz_Everest","brasilia",3348.5,1
"88",113,"ML1","Jacowitz_Everest","brasilia",4417.5,0
"89",114,"ML1","Jacowitz_Everest","brasilia",3348.5,1
"90",115,"ML1","Jacowitz_Everest","brasilia",665.5,0
"91",116,"ML1","Jacowitz_Everest","brasilia",4417.5,1
"92",117,"ML1","Jacowitz_Everest","brasilia",1323,0
"93",118,"ML1","Jacowitz_Everest","brasilia",117,0
"94",119,"ML1","Jacowitz_Everest","brasilia",4417.5,1
"95",120,"ML1","Jacowitz_Everest","brasilia",665.5,0
"96",126,"ML1","Jacowitz_Everest","brasilia",374,0
"97",127,"ML1","Jacowitz_Everest","brasilia",836,0
"98",129,"ML1","Jacowitz_Everest","brasilia",4878.5,1
"99",130,"ML1","Jacowitz_Everest","brasilia",836,0
"100",131,"ML1","Jacowitz_Everest","brasilia",374,0
"101",133,"ML1","Jacowitz_Everest","brasilia",836,0
"102",134,"ML1","Jacowitz_Everest","brasilia",665.5,0
"103",135,"ML1","Jacowitz_Everest","brasilia",3397.5,1
"104",136,"ML1","Jacowitz_Everest","brasilia",1466.5,0
"105",137,"ML1","Jacowitz_Everest","brasilia",2206.5,0
"106",138,"ML1","Jacowitz_Everest","brasilia",4417.5,1
"107",139,"ML1","Jacowitz_Everest","brasilia",5592,1
"108",141,"ML1","Jacowitz_Everest","brasilia",836,0
"109",142,"ML1","Jacowitz_Everest","brasilia",3348.5,1
"110",144,"ML1","Jacowitz_Everest","brasilia",3397.5,1
"111",149,"ML1","Jacowitz_Everest","brasilia",5270.5,1
"112",153,"ML1","Jacowitz_Everest","brasilia",2804,1
"113",154,"ML1","Jacowitz_Everest","brasilia",2015,0
"114",155,"ML1","Jacowitz_Everest","brasilia",2804,1
"115",157,"ML1","Jacowitz_Everest","brasilia",1348.5,0
"116",158,"ML1","Jacowitz_Everest","brasilia",4417.5,1
"117",159,"ML1","Jacowitz_Everest","brasilia",1631,0
"118",161,"ML1","Jacowitz_Everest","brasilia",5563,1
"119",162,"ML1","Jacowitz_Everest","brasilia",665.5,0
"120",163,"ML1","Jacowitz_Everest","brasilia",5060.5,1
"121",164,"ML1","Jacowitz_Everest","brasilia",2804,0
"122",165,"ML1","Jacowitz_Everest","brasilia",386,0
"123",166,"ML1","Jacowitz_Everest","brasilia",3862.5,1
"124",168,"ML1","Jacowitz_Everest","brasilia",3397.5,1
"125",169,"ML1","Jacowitz_Everest","brasilia",1905.5,0
"126",170,"ML1","Jacowitz_Everest","brasilia",33,0
"127",171,"ML1","Jacowitz_Everest","brasilia",2804,1
"128",172,"ML1","Jacowitz_Everest","brasilia",459,0
"129",173,"ML1","Jacowitz_Everest","brasilia",3339.5,1
"130",174,"ML1","Jacowitz_Everest","brasilia",665.5,0
"131",175,"ML1","Jacowitz_Everest","brasilia",3862.5,1
"132",178,"ML1","Jacowitz_Everest","brasilia",979,0
"133",179,"ML1","Jacowitz_Everest","brasilia",665.5,0
"134",180,"ML1","Jacowitz_Everest","brasilia",5023,1
"135",182,"ML1","Jacowitz_Everest","brasilia",665.5,0
"136",183,"ML1","Jacowitz_Everest","brasilia",2206.5,0
"137",184,"ML1","Jacowitz_Everest","brasilia",2309.5,0
"138",185,"ML1","Jacowitz_Everest","brasilia",374,0
"139",188,"ML1","Jacowitz_Everest","brasilia",1348.5,0
"140",189,"ML1","Jacowitz_Everest","brasilia",2206.5,1
"141",190,"ML1","Jacowitz_Everest","brasilia",2015,0
"142",191,"ML1","Jacowitz_Everest","brasilia",4400.5,1
"143",195,"ML1","Jacowitz_Everest","brasilia",2804,0
"144",196,"ML1","Jacowitz_Everest","brasilia",117,0
"145",197,"ML1","Jacowitz_Everest","brasilia",374,0
"146",198,"ML1","Jacowitz_Everest","brasilia",4417.5,1
"147",199,"ML1","Jacowitz_Everest","brasilia",3373,0
"148",200,"ML1","Jacowitz_Everest","brasilia",3085,0
"149",202,"ML1","Jacowitz_Everest","brasilia",1622,0
"150",205,"ML1","Jacowitz_Everest","charles",3085,0
"151",206,"ML1","Jacowitz_Everest","charles",2851,1
"152",207,"ML1","Jacowitz_Everest","charles",2916.5,1
"153",208,"ML1","Jacowitz_Everest","charles",3263,1
"154",209,"ML1","Jacowitz_Everest","charles",2954.5,0
"155",210,"ML1","Jacowitz_Everest","charles",3067,1
"156",211,"ML1","Jacowitz_Everest","charles",5212.5,1
"157",212,"ML1","Jacowitz_Everest","charles",2954.5,0
"158",213,"ML1","Jacowitz_Everest","charles",2804,1
"159",214,"ML1","Jacowitz_Everest","charles",2865.5,1
"160",215,"ML1","Jacowitz_Everest","charles",2954.5,0
"161",216,"ML1","Jacowitz_Everest","charles",2918,0
"162",217,"ML1","Jacowitz_Everest","charles",3063.5,1
"163",218,"ML1","Jacowitz_Everest","charles",2309.5,0
"164",219,"ML1","Jacowitz_Everest","charles",2804,0
"165",220,"ML1","Jacowitz_Everest","charles",3085,0
"166",221,"ML1","Jacowitz_Everest","charles",3328.5,0
"167",222,"ML1","Jacowitz_Everest","charles",4185,1
"168",223,"ML1","Jacowitz_Everest","charles",5023,1
"169",224,"ML1","Jacowitz_Everest","charles",3263,0
"170",225,"ML1","Jacowitz_Everest","charles",2804,0
"171",226,"ML1","Jacowitz_Everest","charles",2916.5,0
"172",227,"ML1","Jacowitz_Everest","charles",3263,0
"173",228,"ML1","Jacowitz_Everest","charles",3263,1
"174",229,"ML1","Jacowitz_Everest","charles",3310.5,0
"175",230,"ML1","Jacowitz_Everest","charles",2933,1
"176",231,"ML1","Jacowitz_Everest","charles",3085,1
"177",232,"ML1","Jacowitz_Everest","charles",3054,1
"178",233,"ML1","Jacowitz_Everest","charles",2494,0
"179",234,"ML1","Jacowitz_Everest","charles",153,0
"180",235,"ML1","Jacowitz_Everest","charles",2804,1
"181",236,"ML1","Jacowitz_Everest","charles",3397.5,1
"182",237,"ML1","Jacowitz_Everest","charles",3263,1
"183",238,"ML1","Jacowitz_Everest","charles",3085,0
"184",239,"ML1","Jacowitz_Everest","charles",836,0
"185",240,"ML1","Jacowitz_Everest","charles",3263,0
"186",241,"ML1","Jacowitz_Everest","charles",3263,0
"187",242,"ML1","Jacowitz_Everest","charles",2015,0
"188",243,"ML1","Jacowitz_Everest","charles",3397.5,1
"189",244,"ML1","Jacowitz_Everest","charles",3321,0
"190",245,"ML1","Jacowitz_Everest","charles",3263,1
"191",246,"ML1","Jacowitz_Everest","charles",1631,0
"192",247,"ML1","Jacowitz_Everest","charles",2206.5,0
"193",248,"ML1","Jacowitz_Everest","charles",3044.5,1
"194",249,"ML1","Jacowitz_Everest","charles",2851,0
"195",250,"ML1","Jacowitz_Everest","charles",3263,1
"196",251,"ML1","Jacowitz_Everest","charles",3055,0
"197",252,"ML1","Jacowitz_Everest","charles",2930,1
"198",253,"ML1","Jacowitz_Everest","charles",2804,0
"199",254,"ML1","Jacowitz_Everest","charles",2954.5,0
"200",255,"ML1","Jacowitz_Everest","charles",2522.5,0
"201",256,"ML1","Jacowitz_Everest","charles",2163,0
"202",257,"ML1","Jacowitz_Everest","charles",3397.5,1
"203",258,"ML1","Jacowitz_Everest","charles",2935,0
"204",259,"ML1","Jacowitz_Everest","charles",3328.5,0
"205",260,"ML1","Jacowitz_Everest","charles",1686.5,0
"206",261,"ML1","Jacowitz_Everest","charles",2490,0
"207",262,"ML1","Jacowitz_Everest","charles",2206.5,0
"208",263,"ML1","Jacowitz_Everest","charles",2804,1
"209",264,"ML1","Jacowitz_Everest","charles",2931,1
"210",265,"ML1","Jacowitz_Everest","charles",3050,0
"211",266,"ML1","Jacowitz_Everest","charles",3218,0
"212",267,"ML1","Jacowitz_Everest","charles",2941,0
"213",268,"ML1","Jacowitz_Everest","charles",2732,0
"214",269,"ML1","Jacowitz_Everest","charles",2289.5,1
"215",270,"ML1","Jacowitz_Everest","charles",3057,1
"216",271,"ML1","Jacowitz_Everest","charles",2932,1
"217",272,"ML1","Jacowitz_Everest","charles",2309.5,0
"218",273,"ML1","Jacowitz_Everest","charles",3263,1
"219",274,"ML1","Jacowitz_Everest","charles",2915,0
"220",275,"ML1","Jacowitz_Everest","charles",2865.5,1
