"","Project","Replication","Lab","T_N","C_N","T_M","SE_T_M","C_M","SE_C_M","T_SD","SE_T_SD","C_SD","SE_C_SD","MD","SE_MD","pooled_SD","SE_pooled_SD","SMD","SE_SMD"
"1","ML1","Husnu","abington",50,34,5.015,0.283240180765371,4.77941176470588,0.363000945569319,2.00281052523697,0.202314414832408,2.11664105139805,0.260540502884649,0.235588235294117,0.455551870307473,2.04938074595567,0.159062794334593,0.113900636128732,0.220422432882484
"2","ML1","Husnu","brasilia",56,64,4.94196428571429,0.261271170725232,4.76953125,0.277130584020563,1.95517441179028,0.186418565709229,2.2170446721645,0.197510037486003,0.172433035714286,0.384087812701801,2.09905541683225,0.1360615537133,0.0816244989677769,0.181891691662425
"3","ML1","Husnu","charles",49,35,4.67857142857143,0.233398618174972,4.69285714285714,0.229880703964517,1.6337903272248,0.16674802701648,1.35999258524919,0.164923325854095,-0.0142857142857142,0.337776568201985,1.52623686061628,0.118458954171971,-0.0092741736649777,0.219283066109093
"4","ML1","Husnu","conncoll",46,49,5.35869565217391,0.267463954625169,4.98469387755102,0.252475852896842,1.81402879885954,0.191215424851187,1.76733097027789,0.180377461824948,0.374001774622893,0.367499709658631,1.79007881771357,0.130554915763176,0.207240114698441,0.204191484331185
"5","ML1","Husnu","csun",47,49,4.02127659574468,0.255810119983122,3.96428571428571,0.308778865460546,1.75374582589144,0.182840641645397,2.16145205822382,0.220602276922368,0.0569908814589661,0.40272098067775,1.97249362484274,0.143099727831682,0.0286615634947119,0.202544944341235
"6","ML1","Husnu","help",51,51,4.50490196078431,0.235718571406254,4.89705882352941,0.261235419950431,1.68336730697613,0.168336730697613,1.86559405457634,0.186559405457634,-0.392156862745098,0.351862458273803,1.77681831748025,0.125016500561091,-0.219047201706482,0.19713739601982
"7","ML1","Husnu","ithaca",47,43,5.44148936170213,0.271104224136107,4.23062015503876,0.256121036197529,1.85859692138686,0.193772124015632,1.67949794964582,0.183248249613693,1.21086920666337,0.374651714236562,1.77537306254012,0.133069837016345,0.676204340035799,0.215207705188328
"8","ML1","Husnu","jmu",97,77,4.63917525773196,0.186637804023007,4.31168831168831,0.200080930532441,1.83816919226208,0.132658434746074,1.75570304001844,0.142406321117696,0.327486946043647,0.275071391465778,1.80219603530019,0.0968866590918281,0.180921785551976,0.152273716590015
"9","ML1","Husnu","ku",58,55,5.31465517241379,0.213500088267179,5.55454545454545,0.174523269493599,1.62596823032475,0.152285877460476,1.29429920718141,0.124543999279685,-0.239890282131662,0.277416183632,1.47396751690775,0.0984835972768346,-0.161648834019197,0.187244468319618
"10","ML1","Husnu","laurier",56,56,4.99107142857143,0.257435236915883,4.94642857142857,0.282305148129612,1.92646891164443,0.183681603659763,2.11257828564695,0.201426436221696,0.0446428571428577,0.382059024060968,2.02166632762673,0.135685359740898,0.0219312475032335,0.187696014847812
"11","ML1","Husnu","lse",140,137,5.26607142857143,0.155929619418538,4.91605839416058,0.176002262639157,1.84498413805686,0.11065479521417,2.060053667799,0.124909100982005,0.350013034410845,0.234859534301981,1.95430621106646,0.0831807962636355,0.178609389774932,0.120087299819775
"12","ML1","Husnu","luc",72,74,5.47222222222222,0.210177027089188,5.19481981981982,0.215873229348466,1.78341121325272,0.149660544433897,1.85701173530239,0.153687384733996,0.277402402402402,0.301457972658778,1.82109438089274,0.106938344210483,0.151532324852543,0.164911384607283
"13","ML1","Husnu","mcdaniel",46,52,5.10869565217391,0.225174673732197,4.76442307692308,0.282353475590606,1.52720894109433,0.160981957227733,2.0360798680948,0.201601947869834,0.344272575250836,0.367454477642892,1.81539482743952,0.130337752747264,0.1881545224958,0.201273278259626
"14","ML1","Husnu","msvu",44,41,5.44507575757576,0.279921095476384,4.83536585365854,0.289107351477211,1.85678648920083,0.200222436377202,1.85119028946375,0.206969366326423,0.609709903917222,0.402459692067985,1.85409163408926,0.143046275138331,0.325863636367127,0.216544443251977
"15","ML1","Husnu","mturk",482,518,4.41804979253112,0.0879694468250047,3.90781853281853,0.0861484231150955,1.93132507957726,0.0622684197213874,1.96070480111175,0.0609750188019182,0.510231259712588,0.123193661364483,1.94660019170856,0.0435490835248659,0.261917012780456,0.0635096186860347
"16","ML1","Husnu","osu",55,52,3.71363636363636,0.234037374153713,3.91826923076923,0.285532991222484,1.73566762012261,0.167014694616918,2.05900768137855,0.203872139668707,-0.204632867132867,0.367427941356686,1.89960501397638,0.130465407999777,-0.106952303108166,0.192177013442776
"17","ML1","Husnu","oxy",61,61,6.15573770491803,0.200763904378856,5.69262295081967,0.20289851855731,1.56801621910871,0.143139642289967,1.58468808880417,0.144661568807966,0.463114754098361,0.285436427482887,1.57637419450234,0.10133317114728,0.291944155485491,0.180905075536562
"18","ML1","Husnu","pi",662,666,5.31734642497482,0.0727492041892772,5.01864364364364,0.0770037480549711,1.87179051235298,0.0514803527446151,1.98723386265079,0.054490796800831,0.298702781331181,0.10595314420622,1.9305494081336,0.037474035307764,0.154636702570388,0.0549333378991259
"19","ML1","Husnu","psu",51,44,4.31862745098039,0.235675752595381,3.82386363636364,0.252835341530739,1.68306151950289,0.168306151950289,1.67711992319764,0.18084849231314,0.494763814616756,0.345733595231841,1.68031694112065,0.122549708165166,0.292064678544633,0.205187402078418
"20","ML1","Husnu","qccuny",53,48,4.16037735849057,0.271657542124887,4.75868055555556,0.31560455107525,1.97769675892103,0.193929122417452,2.1865724702492,0.22552773022996,-0.59830319706499,0.414339526586727,2.07947753085672,0.147041266339385,-0.285531914379649,0.198755739692144
"21","ML1","Husnu","qccuny2",47,38,4.57446808510638,0.311002647071887,3.92105263157895,0.297737029061231,2.13212672813528,0.222289577706278,1.83537431114743,0.213357929881953,0.653415453527435,0.437463643656397,2.00527172571154,0.154710072430778,0.322894030037338,0.217592413994755
"22","ML1","Husnu","sdsu",81,81,4.85493827160494,0.220254491094806,4.29938271604938,0.187392960860904,1.98229041985325,0.156713817766693,1.68653664774814,0.13333242910573,0.555555555555555,0.289185343037382,1.84036425373342,0.102559490180813,0.300454994752424,0.157285152650639
"23","ML1","Husnu","swps",43,36,4.51162790697674,0.251098567524162,3.91666666666667,0.299304749934466,1.64656342007999,0.179654797834808,1.7958284996068,0.21464256001881,0.594961240310078,0.387659815692914,1.71602147099497,0.137391675020157,0.343319784204818,0.225358672019497
"24","ML1","Husnu","swpson",73,95,4.71689497716895,0.215409627996169,4.53771929824561,0.203585383180529,1.84046066837673,0.153371722364727,1.98430486146974,0.144720305873757,0.179175678923336,0.299339511567465,1.92323625599548,0.10523480584106,0.092741973112036,0.15502178922745
"25","ML1","Husnu","tamu",94,93,4.23936170212766,0.199193168284588,4.40860215053763,0.210355483501001,1.93124941925628,0.141606077860299,2.02859481854347,0.149549994145869,-0.169240448409974,0.289625646402594,1.98025725871965,0.102671556021579,-0.0851168474003852,0.145729186203083
"26","ML1","Husnu","tamuc",37,50,4.39189189189189,0.286479049707997,4.615,0.299847750482454,1.74258402927925,0.205365497315122,2.12024377689675,0.214176964630324,-0.223108108108108,0.427025517445159,1.96915573897148,0.150146717477697,-0.112298241503431,0.215105655175635
"27","ML1","Husnu","tamuon",127,98,4.06889763779528,0.160328419826477,3.52295918367347,0.163987961537476,1.80680953061329,0.11381830201105,1.62339799490551,0.116553183512609,0.545938454121806,0.232529061042897,1.72942159322481,0.081707490136749,0.31461381968653,0.134820255364366
"28","ML1","Husnu","tilburg",43,37,3.72093023255814,0.236514655052599,4.60135135135135,0.300846444066124,1.55093031060391,0.169220370141519,1.82997747733888,0.215664913940829,-0.880421118793212,0.37794743703351,1.68547183998234,0.134088939957102,-0.517317302593842,0.225808600296884
"29","ML1","Husnu","ufl",70,57,4.6,0.210454009867123,4.39473684210526,0.224406360461298,1.7607845747963,0.149887936855462,1.69423086770449,0.160089769266973,0.205263157894737,0.308875848313764,1.73128488944513,0.109060696811328,0.117848136457592,0.177489590270343
"30","ML1","Husnu","unipd",69,74,5.13768115942029,0.227606166727664,4.81418918918919,0.22516709881798,1.89063881588732,0.162120940970092,1.93696062346859,0.160304001797352,0.323491970231101,0.320436641854189,1.91476093416729,0.113620157824793,0.16804588763969,0.16675504589595
"31","ML1","Husnu","uva",34,47,4.86029411764706,0.28541319620122,4.79255319148936,0.28636118103249,1.66423061720336,0.204852628005017,1.96319334812167,0.204677055332168,0.0677409261576969,0.415207653870869,1.84421363529436,0.145797889486732,0.0363815942223396,0.22301374061917
"32","ML1","Husnu","vcu",45,62,5.13888888888889,0.278042802863996,5.13709677419355,0.283554475388391,1.8651678235754,0.198827558054855,2.23271017191948,0.20214008111145,0.00179211469534124,0.408626433943331,2.08658783176152,0.143307440649617,0.000852721454019937,0.194432054749685
"33","ML1","Husnu","wisc",47,49,4.56382978723404,0.218462704177845,4.42857142857143,0.253902366205252,1.49770484291289,0.156146523875213,1.77731656343676,0.181396612159042,0.135258358662614,0.336148893043189,1.64642911677899,0.119444522171276,0.0814950417947471,0.202619759037047
"34","ML1","Husnu","wku",57,46,4.1140350877193,0.230698359466906,4.4945652173913,0.284724751654996,1.74173441846372,0.164578432899168,1.93109722008757,0.20355551995654,-0.380530129672007,0.362413061312003,1.82852782106741,0.128022554546592,-0.206557548971925,0.197249041919148
"35","ML1","Husnu","wl",47,43,5.4468085106383,0.183269995995752,5.41279069767442,0.22275142589623,1.25643579116376,0.130992486397424,1.46067878151514,0.159373121007357,0.0340178129638788,0.286522664666572,1.35775335151691,0.101767916280226,0.0248402436028585,0.209230718947818
"36","ML1","Husnu","wpi",35,52,4.83571428571429,0.330034193724849,4.58173076923077,0.226634455804066,1.95250862122716,0.236776449419079,1.63428430237688,0.161818258652381,0.253983516483516,0.386650803302259,1.7684589548485,0.134843731153144,0.142346965994095,0.21696986768644
