"","Project","Replication","Lab","T_N","C_N","T_M","SE_T_M","C_M","SE_C_M","T_SD","SE_T_SD","C_SD","SE_C_SD","MD","SE_MD","pooled_SD","SE_pooled_SD","SMD","SE_SMD"
"1","ML1","Jacowitz_Babies","abington",48,27,3469.0625,194.874474069434,1103.27777777778,152.332092734043,1350.1299607461,139.255272672407,791.54077271597,109.766955486455,2365.78472222222,284.30861875027,1181.84873449247,97.1473675493404,1.98111747154303,0.287833543058696
"2","ML1","Jacowitz_Babies","brasilia",38,40,3680.57894736842,238.853063837716,1065.3625,178.532694689003,1472.38917137326,171.16176448411,1129.13990404939,127.849918169136,2615.21644736842,296.199737867777,1307.55258149734,105.365589684123,1.98027136064186,0.274666650163073
"3","ML1","Jacowitz_Babies","charles",41,32,3989.84146341463,165.460147768889,1770.578125,176.61345519277,1059.46188250819,118.451439442911,999.076574524752,126.882851847559,2219.26333841463,243.791075008469,1033.53048207738,86.1275401731147,2.12448855396571,0.292198917283807
"4","ML1","Jacowitz_Babies","conncoll",49,35,3952.32653061224,148.309932958239,1298.65714285714,148.900355507796,1038.16953070768,105.95773403077,880.90638291602,106.825590089516,2653.6693877551,216.011272120601,976.042736102195,75.7556082737566,2.69384859535067,0.302125652295393
"5","ML1","Jacowitz_Babies","csun",43,41,4133.74418604651,171.612187518217,1584.64634146341,208.658897342563,1125.33636967169,122.784264197794,1336.06884293018,149.377037770568,2549.0978445831,269.060728937738,1232.64162006326,95.6715441419602,2.04901378606247,0.267892150360474
"6","ML1","Jacowitz_Babies","help",40,45,3935.9125,201.676756386318,886.477777777778,140.035625838314,1275.51580259135,144.42372499627,939.387535938586,100.139047798819,3049.43472222222,241.227159004047,1110.07671189133,85.6442776798681,2.72213834723459,0.299930217073177
"7","ML1","Jacowitz_Babies","ithaca",44,43,4202.78409090909,128.326281871056,1521.03488372093,127.134074591749,851.220255415358,91.7894407483772,833.673878479418,90.9612774533178,2681.74920718816,180.683471997911,842.59594947811,64.2473388317277,3.15454307070561,0.31994202819299
"8","ML1","Jacowitz_Babies","jmu",81,77,3821.14814814815,100.858277617274,1519.15584415584,124.65612277637,907.724498555469,71.7619225842376,1093.85303803303,88.7231971689598,2301.9923039923,159.596616778766,1002.72769283338,56.5871974102646,2.28467241419559,0.203978838391451
"9","ML1","Jacowitz_Babies","ku",42,49,3872.16666666667,202.721782212353,1385.61224489796,121.044103589903,1313.78730443737,145.083536966778,847.308725129319,86.4780846322899,2486.55442176871,228.648945152073,1087.35458780373,81.0466257991803,2.26745849279809,0.267810436085283
"10","ML1","Jacowitz_Babies","laurier",52,47,4084.16346153846,148.894404488551,1431.05319148936,163.707629860303,1073.6928200263,106.311430766073,1122.32296577254,117.010257795429,2653.1102700491,220.791757849853,1097.02332239207,78.3588087422911,2.39970709044476,0.262612485758357
"11","ML1","Jacowitz_Babies","lse",122,125,3882.97540983607,93.7576793318639,1501.44,83.2845539255668,1035.58741635411,66.5700804195864,931.149620266572,59.1280600150169,2381.53540983607,125.244750556747,984.11528532024,44.3673434892668,2.41255911812351,0.166972638141525
"12","ML1","Jacowitz_Babies","luc",79,51,4002.42405063291,118.351744190176,1338.46078431373,135.290862293885,1051.93331199068,84.2220695875695,966.170010107627,96.6170010107627,2663.96326631919,183.092828363785,1019.29123838068,63.4583006781603,2.598196030793,0.24052470804319
"13","ML1","Jacowitz_Babies","mcdaniel",36,48,3787.5,170.331561588027,1387.53125,130.882163048378,1021.98936952816,122.151093289568,906.778224817215,93.5270326721308,2399.96875,211.142130002072,957.650686755347,74.3281083968193,2.48309688198926,0.290557768034737
"14","ML1","Jacowitz_Babies","msvu",48,33,3901.84375,160.129711907858,1380.56060606061,166.096531120813,1109.41118730311,114.427026942162,954.151928396165,119.268991049521,2521.28314393939,237.280335111014,1049.29312225737,82.9539049870702,2.3799433435467,0.291770854179724
"15","ML1","Jacowitz_Babies","mturk",476,453,4005.39075630252,46.6802681910368,1554.15673289183,50.8888660247384,1018.44321426001,33.0426611116482,1083.10827641264,36.0236454185394,2451.23402341069,68.9508013940352,1050.47093008976,24.3834443260224,2.33157351622581,0.0850131057551912
"16","ML1","Jacowitz_Babies","osu",46,47,3950.46739130435,171.023874934544,1341.8085106383,143.294308735882,1159.94035479882,122.268449036937,982.376286896436,102.419807922888,2608.65888066605,222.720775281927,1073.85860170604,79.1659064346506,2.40915311233074,0.271130480785004
