"","Project","Replication","Lab","T_N","C_N","T_M","SE_T_M","C_M","SE_C_M","T_SD","SE_T_SD","C_SD","SE_C_SD","MD","SE_MD","pooled_SD","SE_pooled_SD","SMD","SE_SMD"
"1","ML1","Jacowitz_Everest","abington",38,35,4081.56578947368,183.829048828306,1280.42857142857,182.755414849089,1133.19836274968,131.731633898012,1081.19561504068,131.114227140217,2801.13721804511,259.723057147084,1108.60005715212,92.3833380960097,2.49993279584225,0.310700719118937
"2","ML1","Jacowitz_Everest","brasilia",32,44,3913.1875,195.244116415731,1287.39772727273,151.570358647023,1104.46750963472,140.267513991193,1005.40401794355,108.415503444733,2625.78977272727,243.492136576799,1048.04389327292,85.5724255519521,2.47992637490757,0.305524388124204
"3","ML1","Jacowitz_Everest","charles",40,43,3218,105.518736943511,2697.39534883721,100.297858668702,667.359089131297,75.5635370151023,657.697042339147,71.7606304968504,520.604651162791,145.503464668113,662.366732732322,51.7221522003358,0.778672578589637,0.225866599332354
"4","ML1","Jacowitz_Everest","conncoll",47,37,4206.1170212766,127.089163428129,1920.91891891892,219.562504793233,871.279407917173,90.8371576109222,1335.5465772147,157.3956735565,2285.19810235768,241.652345070535,1099.51500873273,85.3389152049911,2.05929182283739,0.269560928423224
"5","ML1","Jacowitz_Everest","csun",59,29,3962.3813559322,137.909527396707,1591.01724137931,244.306861675634,1059.30317995378,98.3538311167722,1315.6327136371,175.808816473632,2371.36411455289,260.589521574992,1149.05447181418,87.1095947047923,2.04569345752744,0.272604752305442
"6","ML1","Jacowitz_Everest","help",29,36,4318.29310344828,206.696826063453,1339.23611111111,192.389984524357,1113.09647346331,148.743772933072,1154.33990714614,137.970008191747,2979.05699233716,283.50390765514,1136.1943370107,100.426340055752,2.59060172237663,0.335268399014917
"7","ML1","Jacowitz_Everest","ithaca",43,40,4260.88372093023,134.011565257274,1148.8125,132.46405981786,878.772600720062,95.881951463164,837.776274274451,94.8594835112184,3112.07122093023,188.759329061881,859.277820969049,67.0983249040902,3.58807303341403,0.353438758892015
"8","ML1","Jacowitz_Everest","jmu",70,91,4066.09285714286,136.755737383611,1443.98351648352,95.2559246201895,1144.18058868059,97.399119848174,908.683606624163,67.7292771483769,2622.10934065934,161.777717815771,1017.5962145158,56.8853577325944,2.56459107154781,0.213218835955548
"9","ML1","Jacowitz_Everest","ku",39,36,3551.70512820513,150.084547380238,1869.01388888889,160.83300084608,937.277697980115,107.513125461309,964.998005076481,115.339322361803,1682.69123931624,219.723479709684,950.669127019965,78.1445208722752,1.75174926076387,0.269777573366531
"10","ML1","Jacowitz_Everest","laurier",37,48,3979.66216216216,195.975237118964,989.364583333333,121.534686935269,1192.07082921354,140.486894498594,842.017010615451,86.8474234460092,2990.29757882883,220.711758302471,1008.8752976591,77.8364190614006,2.93711374053762,0.312635926727731
"11","ML1","Jacowitz_Everest","lse",133,127,3954.78195488722,97.6496117067458,1219.74409448819,75.4908546591889,1126.15025935334,69.3097572452827,850.738726296856,53.5915023922221,2735.03786039903,124.211380819869,1001.15748052593,43.9883342909585,2.7239252791148,0.171965505595029
"12","ML1","Jacowitz_Everest","luc",67,69,4163.71641791045,148.696570899205,1352.31884057971,119.595782583438,1217.13388877774,105.937907171336,993.437181511947,85.1865355286303,2811.39757733074,190.258496967683,1109.26817712712,67.5079114372399,2.52024521108706,0.228999190250018
"13","ML1","Jacowitz_Everest","mcdaniel",48,40,4202.19791666667,146.508634088563,1707.35,192.568923059265,1015.04159195563,104.693546377939,1217.91280686599,137.901470080495,2494.84791666667,237.987632372347,1111.63872315223,84.2731141188259,2.22465843126764,0.270471104911846
"14","ML1","Jacowitz_Everest","msvu",18,31,4182.47222222222,235.084578272458,928.822580645161,87.8583431830739,997.37939669301,171.04915538314,489.174552152009,63.1521631291067,3253.64964157706,212.152583567679,715.924762930222,73.0687651417524,4.47170636439408,0.537641717001174
"15","ML1","Jacowitz_Everest","mturk",452,489,4061.0453539823,48.8758030499476,1619.35173824131,47.6465164934912,1039.11382627089,34.5987058693699,1053.62382808508,33.7256768927418,2441.69361574099,68.2943867763735,1046.6798055557,24.1398696359684,2.33093517453579,0.0844839562935615
