"","Project","Replication","Lab","T_N","C_N","T_M","SE_T_M","C_M","SE_C_M","T_SD","SE_T_SD","C_SD","SE_C_SD","MD","SE_MD","pooled_SD","SE_pooled_SD","SMD","SE_SMD"
"1","ML1","Nosek1","abington",53,24,0.454090431711682,0.0641494503007221,0.0808151086316811,0.0943563079513538,0.467015047526196,0.0457945930861065,0.462249616987464,0.0681549877604837,0.373275323080001,0.114545064016019,0.465558834568276,0.0377618078818237,0.793729952661754,0.251825788957299
"2","ML1","Nosek1","brasilia",65,48,0.570311251730098,0.0524616628151518,0.399756637367889,0.0745195953707551,0.422959447520083,0.0373846866885458,0.516286901366489,0.0532509279234515,0.17055461436221,0.0884503953498456,0.464769749875618,0.0310537351387711,0.364479791469421,0.190569413768327
"3","ML1","Nosek1","charles",58,22,0.735131969249299,0.0549885108080483,0.34020899232457,0.0965081453029316,0.418780021743441,0.039222342653878,0.4526633256802,0.0698474675574363,0.394922976924729,0.10720922204214,0.428166306228725,0.0340630823758879,0.913456704271919,0.258276144577256
"4","ML1","Nosek1","conncoll",57,29,0.577599455660234,0.0613880676801277,0.359331715867521,0.0760142111312862,0.463469747286159,0.0437937746971832,0.409349054626294,0.0547015683575501,0.218267739792713,0.101766069954066,0.446159561077437,0.0342188762785904,0.484831318347818,0.229052714363302
"5","ML1","Nosek1","csun",72,16,0.319679753296012,0.0596322513301895,0.31376035071234,0.121964184460472,0.50599643151597,0.0424622772692849,0.487856737841888,0.0890700467156287,0.00591940258367191,0.1389885912249,0.502879644254266,0.0381232074464814,0.0116680088876534,0.273968268143666
"6","ML1","Nosek1","help",69,28,0.341022076785771,0.0523518553795449,0.259364345243654,0.083093399960114,0.434867171163763,0.0372895522897553,0.439688943770572,0.0598340865433992,0.0816577315421177,0.0977486500151615,0.436242990740933,0.0314831260170456,0.185701732873826,0.222694323076592
"7","ML1","Nosek1","ithaca",71,17,0.559935797196619,0.0541967024309114,0.274598569770319,0.135195105237401,0.456669531895131,0.038595619788605,0.5574236989603,0.0985395193822292,0.2853372274263,0.12880479690678,0.477028510408915,0.0361634380472357,0.592921270849096,0.271357907275659
"8","ML1","Nosek1","jmu",137,30,0.51489338120963,0.0417718428605501,0.101675487880484,0.0989677594038263,0.488926885400475,0.0296455469369179,0.542068742912197,0.0711771129965546,0.413217893329147,0.100521035807675,0.498677335647481,0.0273684743604881,0.824854618728174,0.205670818622974
"9","ML1","Nosek1","ku",64,41,0.511464430807614,0.0613335736794482,0.109995070342855,0.0655773074836535,0.490668589435586,0.0437122321933241,0.419899646974168,0.0469462077181202,0.401469360464759,0.0929112813955097,0.464467911613954,0.0322050552140728,0.858052248979933,0.20721714666036
"10","ML1","Nosek1","laurier",59,49,0.580389893265889,0.0534169130609821,0.169173807218145,0.0628673883413845,0.41030309462263,0.0380956859555201,0.440071718389692,0.0449146316785216,0.411216086047744,0.0819590505435803,0.424042207539761,0.0289869285538652,0.962872329681632,0.202783955899706
