"Project","Replication","Lab","Lab__Empirical__C_M","Lab__Empirical__SE_C_M"
"ML1","Jacowitz_Babies","abington",1103.27777777778,152.332092734043
"ML1","Jacowitz_Babies","brasilia",1065.3625,178.532694689003
"ML1","Jacowitz_Babies","charles",1770.578125,176.61345519277
"ML1","Jacowitz_Babies","conncoll",1298.65714285714,148.900355507796
"ML1","Jacowitz_Babies","csun",1584.64634146341,208.658897342563
"ML1","Jacowitz_Babies","help",886.477777777778,140.035625838314
"ML1","Jacowitz_Babies","ithaca",1521.03488372093,127.134074591749
"ML1","Jacowitz_Babies","jmu",1519.15584415584,124.65612277637
"ML1","Jacowitz_Babies","ku",1385.61224489796,121.044103589903
"ML1","Jacowitz_Babies","laurier",1431.05319148936,163.707629860303
"ML1","Jacowitz_Babies","lse",1501.44,83.2845539255668
"ML1","Jacowitz_Babies","luc",1338.46078431373,135.290862293885
"ML1","Jacowitz_Babies","mcdaniel",1387.53125,130.882163048378
"ML1","Jacowitz_Babies","msvu",1380.56060606061,166.096531120813
"ML1","Jacowitz_Babies","mturk",1554.15673289183,50.8888660247384
"ML1","Jacowitz_Babies","osu",1341.8085106383,143.294308735882
"ML1","Jacowitz_Babies","oxy",1683.54545454545,120.583030388321
"ML1","Jacowitz_Babies","pi",1701.09416195857,43.2366299922542
"ML1","Jacowitz_Babies","psu",1181.3375,144.758594788787
"ML1","Jacowitz_Babies","qccuny",1305.04651162791,160.885834086229
"ML1","Jacowitz_Babies","qccuny2",1260.68518518519,140.511930702062
"ML1","Jacowitz_Babies","sdsu",1430.09821428571,100.716496813886
"ML1","Jacowitz_Babies","swps",1027.34375,190.960499891735
"ML1","Jacowitz_Babies","swpson",1389.69014084507,151.473518801168
"ML1","Jacowitz_Babies","tamu",1633.10714285714,114.916544519184
"ML1","Jacowitz_Babies","tamuc",1432.77659574468,149.748399697489
"ML1","Jacowitz_Babies","tamuon",1671.67171717172,98.7479350020154
"ML1","Jacowitz_Babies","tilburg",1520.55813953488,131.807764868584
"ML1","Jacowitz_Babies","ufl",1125.64406779661,96.173092609563
"ML1","Jacowitz_Babies","unipd",1406.99206349206,112.226738439628
"ML1","Jacowitz_Babies","uva",1767.36904761905,124.31177210526
"ML1","Jacowitz_Babies","vcu",1311.17441860465,127.026649268992
