"Project","Replication","Lab","DV","Group"
"Multi_Lab_1","Rep_A","Lab_A",-2,1
"Multi_Lab_1","Rep_A","Lab_A",0,0
"Multi_Lab_1","Rep_A","Lab_A",4,1
"Multi_Lab_1","Rep_A","Lab_A",1,0
"Multi_Lab_1","Rep_A","Lab_A",2,1
"Multi_Lab_1","Rep_A","Lab_A",0,0
"Multi_Lab_1","Rep_A","Lab_A",4,1
"Multi_Lab_1","Rep_A","Lab_A",1,0
"Multi_Lab_1","Rep_A","Lab_A",-3,1
"Multi_Lab_1","Rep_A","Lab_A",10,0
"Multi_Lab_1","Rep_A","Lab_B",4,1
"Multi_Lab_1","Rep_A","Lab_B",0,0
"Multi_Lab_1","Rep_A","Lab_B",6,1
"Multi_Lab_1","Rep_A","Lab_B",-2,0
"Multi_Lab_1","Rep_A","Lab_B",2,1
"Multi_Lab_1","Rep_A","Lab_B",-7,0
"Multi_Lab_1","Rep_A","Lab_B",8,1
"Multi_Lab_1","Rep_A","Lab_B",-8,0
"Multi_Lab_1","Rep_A","Lab_B",-8,1
"Multi_Lab_1","Rep_A","Lab_B",0,0
"Multi_Lab_1","Rep_A","Lab_C",2,1
"Multi_Lab_1","Rep_A","Lab_C",12,0
"Multi_Lab_1","Rep_A","Lab_C",-4,1
"Multi_Lab_1","Rep_A","Lab_C",6,0
"Multi_Lab_1","Rep_A","Lab_C",-1,1
"Multi_Lab_1","Rep_A","Lab_C",-3,0
"Multi_Lab_1","Rep_A","Lab_C",8,1
"Multi_Lab_1","Rep_A","Lab_C",6,0
"Multi_Lab_1","Rep_A","Lab_C",-8,1
"Multi_Lab_1","Rep_A","Lab_C",-1,0
"Multi_Lab_1","Rep_A","Lab_D",-3,1
"Multi_Lab_1","Rep_A","Lab_D",-8,0
"Multi_Lab_1","Rep_A","Lab_D",6,1
"Multi_Lab_1","Rep_A","Lab_D",4,0
"Multi_Lab_1","Rep_A","Lab_D",2,1
"Multi_Lab_1","Rep_A","Lab_D",-1,0
"Multi_Lab_1","Rep_A","Lab_D",-7,1
"Multi_Lab_1","Rep_A","Lab_D",-2,0
"Multi_Lab_1","Rep_A","Lab_D",2,1
"Multi_Lab_1","Rep_A","Lab_D",2,0
"Multi_Lab_1","Rep_A","Lab_E",-1,1
"Multi_Lab_1","Rep_A","Lab_E",1,0
"Multi_Lab_1","Rep_A","Lab_E",3,1
"Multi_Lab_1","Rep_A","Lab_E",9,0
"Multi_Lab_1","Rep_A","Lab_E",3,1
"Multi_Lab_1","Rep_A","Lab_E",4,0
"Multi_Lab_1","Rep_A","Lab_E",-1,1
"Multi_Lab_1","Rep_A","Lab_E",-8,0
"Multi_Lab_1","Rep_A","Lab_E",3,1
"Multi_Lab_1","Rep_A","Lab_E",8,0
