"Project","Replication","Lab","DV","Group"
"Multi_Lab_1","Rep_B","Lab_A",-5,1
"Multi_Lab_1","Rep_B","Lab_A",0,0
"Multi_Lab_1","Rep_B","Lab_A",-9,1
"Multi_Lab_1","Rep_B","Lab_A",0,0
"Multi_Lab_1","Rep_B","Lab_A",3,1
"Multi_Lab_1","Rep_B","Lab_A",0,0
"Multi_Lab_1","Rep_B","Lab_A",5,1
"Multi_Lab_1","Rep_B","Lab_A",-6,0
"Multi_Lab_1","Rep_B","Lab_A",-10,1
"Multi_Lab_1","Rep_B","Lab_A",1,0
"Multi_Lab_1","Rep_B","Lab_B",-3,1
"Multi_Lab_1","Rep_B","Lab_B",2,0
"Multi_Lab_1","Rep_B","Lab_B",-6,1
"Multi_Lab_1","Rep_B","Lab_B",0,0
"Multi_Lab_1","Rep_B","Lab_B",-7,1
"Multi_Lab_1","Rep_B","Lab_B",-1,0
"Multi_Lab_1","Rep_B","Lab_B",2,1
"Multi_Lab_1","Rep_B","Lab_B",-4,0
"Multi_Lab_1","Rep_B","Lab_B",-11,1
"Multi_Lab_1","Rep_B","Lab_B",7,0
"Multi_Lab_1","Rep_B","Lab_C",-13,1
"Multi_Lab_1","Rep_B","Lab_C",6,0
"Multi_Lab_1","Rep_B","Lab_C",-11,1
"Multi_Lab_1","Rep_B","Lab_C",6,0
"Multi_Lab_1","Rep_B","Lab_C",-2,1
"Multi_Lab_1","Rep_B","Lab_C",5,0
"Multi_Lab_1","Rep_B","Lab_C",-6,1
"Multi_Lab_1","Rep_B","Lab_C",4,0
"Multi_Lab_1","Rep_B","Lab_C",1,1
"Multi_Lab_1","Rep_B","Lab_C",4,0
"Multi_Lab_1","Rep_B","Lab_D",4,1
"Multi_Lab_1","Rep_B","Lab_D",9,0
"Multi_Lab_1","Rep_B","Lab_D",10,1
"Multi_Lab_1","Rep_B","Lab_D",7,0
"Multi_Lab_1","Rep_B","Lab_D",3,1
"Multi_Lab_1","Rep_B","Lab_D",9,0
"Multi_Lab_1","Rep_B","Lab_D",-7,1
"Multi_Lab_1","Rep_B","Lab_D",-2,0
"Multi_Lab_1","Rep_B","Lab_D",-4,1
"Multi_Lab_1","Rep_B","Lab_D",9,0
"Multi_Lab_1","Rep_B","Lab_E",-1,1
"Multi_Lab_1","Rep_B","Lab_E",-2,0
"Multi_Lab_1","Rep_B","Lab_E",1,1
"Multi_Lab_1","Rep_B","Lab_E",-1,0
"Multi_Lab_1","Rep_B","Lab_E",1,1
"Multi_Lab_1","Rep_B","Lab_E",0,0
"Multi_Lab_1","Rep_B","Lab_E",1,1
"Multi_Lab_1","Rep_B","Lab_E",0,0
"Multi_Lab_1","Rep_B","Lab_E",-7,1
"Multi_Lab_1","Rep_B","Lab_E",0,0
