"Project","Replication","Lab","DV","Group"
"Multi_Lab_2","Rep_C","Lab_F",-3,1
"Multi_Lab_2","Rep_C","Lab_F",2,0
"Multi_Lab_2","Rep_C","Lab_F",-1,1
"Multi_Lab_2","Rep_C","Lab_F",4,0
"Multi_Lab_2","Rep_C","Lab_F",4,1
"Multi_Lab_2","Rep_C","Lab_F",1,0
"Multi_Lab_2","Rep_C","Lab_F",3,1
"Multi_Lab_2","Rep_C","Lab_F",-8,0
"Multi_Lab_2","Rep_C","Lab_F",-6,1
"Multi_Lab_2","Rep_C","Lab_F",-13,0
"Multi_Lab_2","Rep_C","Lab_G",-3,1
"Multi_Lab_2","Rep_C","Lab_G",-4,0
"Multi_Lab_2","Rep_C","Lab_G",4,1
"Multi_Lab_2","Rep_C","Lab_G",1,0
"Multi_Lab_2","Rep_C","Lab_G",-2,1
"Multi_Lab_2","Rep_C","Lab_G",4,0
"Multi_Lab_2","Rep_C","Lab_G",6,1
"Multi_Lab_2","Rep_C","Lab_G",-6,0
"Multi_Lab_2","Rep_C","Lab_G",-4,1
"Multi_Lab_2","Rep_C","Lab_G",-1,0
"Multi_Lab_2","Rep_C","Lab_H",9,1
"Multi_Lab_2","Rep_C","Lab_H",-2,0
"Multi_Lab_2","Rep_C","Lab_H",10,1
"Multi_Lab_2","Rep_C","Lab_H",-3,0
"Multi_Lab_2","Rep_C","Lab_H",-11,1
"Multi_Lab_2","Rep_C","Lab_H",5,0
"Multi_Lab_2","Rep_C","Lab_H",2,1
"Multi_Lab_2","Rep_C","Lab_H",1,0
"Multi_Lab_2","Rep_C","Lab_H",8,1
"Multi_Lab_2","Rep_C","Lab_H",3,0
"Multi_Lab_2","Rep_C","Lab_I",12,1
"Multi_Lab_2","Rep_C","Lab_I",-1,0
"Multi_Lab_2","Rep_C","Lab_I",-3,1
"Multi_Lab_2","Rep_C","Lab_I",2,0
"Multi_Lab_2","Rep_C","Lab_I",8,1
"Multi_Lab_2","Rep_C","Lab_I",1,0
"Multi_Lab_2","Rep_C","Lab_I",6,1
"Multi_Lab_2","Rep_C","Lab_I",-3,0
"Multi_Lab_2","Rep_C","Lab_I",-12,1
"Multi_Lab_2","Rep_C","Lab_I",-2,0
"Multi_Lab_2","Rep_C","Lab_J",-4,1
"Multi_Lab_2","Rep_C","Lab_J",1,0
"Multi_Lab_2","Rep_C","Lab_J",-10,1
"Multi_Lab_2","Rep_C","Lab_J",4,0
"Multi_Lab_2","Rep_C","Lab_J",1,1
"Multi_Lab_2","Rep_C","Lab_J",1,0
"Multi_Lab_2","Rep_C","Lab_J",0,1
"Multi_Lab_2","Rep_C","Lab_J",-2,0
"Multi_Lab_2","Rep_C","Lab_J",-2,1
"Multi_Lab_2","Rep_C","Lab_J",0,0
