"Variable_Name","Variable_Description"
"Project","Project"
"Replication","Replication"
"Empirical__K","Empirical number of labs"
"Empirical__N","Empirical number of participants"
"Model_Estimate__C_M","Model Estimate control group mean"
"Model_Estimate__T_M","Model Estimate treatment group mean"
"Model_Estimate__C_SD","Model Estimate control group standard deviation"
"Model_Estimate__T_SD","Model Estimate treatment group standard deviation"
"Model_Estimate__pooled_SD","Model Estimate pooled standard deviation"
"Model_Estimate__MD","Model Estimate mean difference"
"Model_Estimate__SMD","Model Estimate standardized mean difference"
"Model_Estimate__C_M_K","Model Estimate control group mean number of labs"
"Model_Estimate__T_M_K","Model Estimate treatment group mean number of labs"
"Model_Estimate__C_SD_K","Model Estimate control group standard deviation number of labs"
"Model_Estimate__T_SD_K","Model Estimate treatment group standard deviation number of labs"
"Model_Estimate__pooled_SD_K","Model Estimate pooled standard deviation number of labs"
"Model_Estimate__MD_K","Model Estimate mean difference number of labs"
"Model_Estimate__SMD_K","Model Estimate standardized mean difference number of labs"
"Tau2__C_M","Tau2 control group mean"
"Tau2__T_M","Tau2 treatment group mean"
"Tau2__C_SD","Tau2 control group standard deviation"
"Tau2__T_SD","Tau2 treatment group standard deviation"
"Tau2__pooled_SD","Tau2 pooled standard deviation"
"Tau2__MD","Tau2 mean difference"
"Tau2__SMD","Tau2 standardized mean difference"
"Tau__C_M","Tau control group mean"
"Tau__T_M","Tau treatment group mean"
"Tau__C_SD","Tau control group standard deviation"
"Tau__T_SD","Tau treatment group standard deviation"
"Tau__pooled_SD","Tau pooled standard deviation"
"Tau__MD","Tau mean difference"
"Tau__SMD","Tau standardized mean difference"
"I2__T_M","I2 treatment group mean"
"I2__C_M","I2 control group mean"
"I2__T_SD","I2 treatment group standard deviation"
"I2__C_SD","I2 control group standard deviation"
"I2__MD","I2 mean difference"
"I2__pooled_SD","I2 pooled standard deviation"
"I2__SMD","I2 standardized mean difference"
"H2__T_M","H2 treatment group mean"
"H2__C_M","H2 control group mean"
"H2__TSD","H2 TSD"
"H2__C_SD","H2 control group standard deviation"
"H2__MD","H2 mean difference"
"H2__pooled_SD","H2 pooled standard deviation"
"H2__SMD","H2 standardized mean difference"
"QE__T_M","QE treatment group mean"
"QE__C_M","QE control group mean"
"QE__T_SD","QE treatment group standard deviation"
"QE__C_SD","QE control group standard deviation"
"QE__MD","QE mean difference"
"QE__pooled_SD","QE pooled standard deviation"
"QE__SMD","QE standardized mean difference"
"QEp__T_M","QEp treatment group mean"
"QEp__C_M","QEp control group mean"
"QEp__T_SD","QEp treatment group standard deviation"
"QEp__C_SD","QEp control group standard deviation"
"QEp__MD","QEp mean difference"
"QEp__pooled_SD","QEp pooled standard deviation"
"QEp__SMD","QEp standardized mean difference"
"H2__T_SD","H2 treatment group standard deviation"
